duration,days_left,is_vistara,is_zero_stops,departure_time_Early_Morning,departure_time_Evening,departure_time_Morning,departure_time_Night,source_city_Chennai,source_city_Delhi,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,arrival_time_Early_Morning,arrival_time_Evening,arrival_time_Late_Night,arrival_time_Morning,arrival_time_Night,destination_city_Chennai,destination_city_Delhi,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai
13.08,38,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
7.33,37,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.25,39,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
13.83,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13.08,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.08,43,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22.75,48,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2.67,21,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26.42,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
15.17,32,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8.92,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
16.17,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
15.75,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12.5,26,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18.5,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.75,32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
13.08,42,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16.5,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14.92,16,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
20.42,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22.92,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
14.42,33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14.33,42,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7.17,38,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8.17,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24.58,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7.17,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.58,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
31.17,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5.92,38,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23.83,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
12.33,10,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15.08,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23.33,34,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
15.83,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15.08,39,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18.83,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10.25,42,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26.75,28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16.83,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12.33,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
13.0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
5.75,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15.25,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
24.58,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11.58,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2.17,34,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15.67,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
27.25,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
13.42,27,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22.67,21,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15.92,32,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
14.58,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
12.42,39,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
13.08,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15.58,21,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14.0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
24.92,5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
15.17,24,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22.33,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
6.5,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.33,28,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
24.58,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11.25,49,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1.5,16,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18.08,41,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5.92,23,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
13.75,22,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6.08,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.08,49,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
16.33,31,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5.83,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13.92,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22.33,27,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
10.33,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
9.25,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24.5,38,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
16.5,24,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26.08,30,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12.08,32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
16.17,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15.08,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17.17,47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28.92,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
16.25,21,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
5.17,18,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
16.0,23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15.67,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.83,34,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
27.75,46,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
16.83,16,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10.17,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
8.75,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9.92,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12.33,15,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12.08,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
21.92,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
15.08,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14.83,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.75,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25.75,47,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11.83,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6.25,40,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21.83,21,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
10.67,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12.58,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5.58,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
12.83,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
12.33,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7.08,32,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
14.25,42,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
12.33,11,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13.83,48,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5.33,23,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24.08,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
14.0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27.0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21.5,33,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
18.25,31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
5.08,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26.25,18,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15.83,49,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
24.83,40,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9.17,43,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10.83,21,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
14.0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14.17,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
27.25,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
19.0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
8.08,37,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
25.0,21,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3.75,44,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
11.83,37,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
14.42,46,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26.58,21,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.83,27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.25,33,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
8.92,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
12.17,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
15.17,14,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19.92,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
9.58,35,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11.17,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
27.5,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14.92,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23.33,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
20.67,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.08,46,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
13.67,22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
20.58,12,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
12.75,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
14.08,27,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
14.0,27,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10.75,33,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12.25,30,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13.67,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17.33,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23.25,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.92,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7.33,44,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
19.83,31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.92,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25.83,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10.17,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23.25,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6.42,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12.75,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9.83,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2.33,15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25.5,42,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
12.58,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13.08,19,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
5.42,40,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16.08,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
23.33,45,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
11.58,27,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10.83,39,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.92,32,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12.0,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6.33,42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
8.17,26,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17.0,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2.33,36,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.75,31,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.92,14,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2.83,27,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9.42,34,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7.92,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7.08,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
23.25,22,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
14.25,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.17,31,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22.25,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14.17,49,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7.58,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11.5,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8.92,44,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
15.25,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7.17,24,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14.42,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2.17,21,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.75,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12.75,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6.67,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
11.25,25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8.83,49,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5.08,46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20.42,24,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
20.5,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.5,28,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
11.25,8,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
10.92,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12.0,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
26.17,21,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
9.33,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27.92,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
14.17,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2.67,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8.5,48,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.08,28,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9.33,38,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
12.92,49,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
14.0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
18.92,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
11.92,33,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6.17,48,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14.25,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7.25,35,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21.83,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9.75,11,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2.5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
10.75,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16.33,15,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7.0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
10.58,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.33,33,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22.25,34,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
22.83,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
12.58,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
17.67,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2.08,32,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13.08,37,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21.25,25,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7.67,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25.5,42,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15.83,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11.92,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10.75,46,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14.08,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
11.75,46,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.83,23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.5,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
16.25,47,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
10.5,43,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
12.42,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2.33,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
24.33,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8.92,36,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
